Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","155","Vanuatu","5419","Yield","656","Coffee, green","2018","2018","hg/ha","6123","Fc","Calculated data"
"QC","Crops","155","Vanuatu","5510","Production","656","Coffee, green","2018","2018","tonnes","29","Im","FAO data based on imputation methodology"
"QC","Crops","236","Venezuela (Bolivarian Republic of)","5312","Area harvested","656","Coffee, green","2018","2018","ha","141077","Im","FAO data based on imputation methodology"
"QC","Crops","236","Venezuela (Bolivarian Republic of)","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3550","Fc","Calculated data"
"QC","Crops","236","Venezuela (Bolivarian Republic of)","5510","Production","656","Coffee, green","2018","2018","tonnes","50080","Im","FAO data based on imputation methodology"
"QC","Crops","237","Viet Nam","5312","Area harvested","656","Coffee, green","2018","2018","ha","618879","","Official data"
"QC","Crops","237","Viet Nam","5419","Yield","656","Coffee, green","2018","2018","hg/ha","26117","Fc","Calculated data"
"QC","Crops","237","Viet Nam","5510","Production","656","Coffee, green","2018","2018","tonnes","1616307","","Official data"
"QC","Crops","249","Yemen","5312","Area harvested","656","Coffee, green","2018","2018","ha","33975","Im","FAO data based on imputation methodology"
"QC","Crops","249","Yemen","5419","Yield","656","Coffee, green","2018","2018","hg/ha","5692","Fc","Calculated data"
"QC","Crops","249","Yemen","5510","Production","656","Coffee, green","2018","2018","tonnes","19338","Im","FAO data based on imputation methodology"
"QC","Crops","251","Zambia","5312","Area harvested","656","Coffee, green","2018","2018","ha","7876","Im","FAO data based on imputation methodology"
"QC","Crops","251","Zambia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","9019","Fc","Calculated data"
"QC","Crops","251","Zambia","5510","Production","656","Coffee, green","2018","2018","tonnes","7104","Im","FAO data based on imputation methodology"
"QC","Crops","181","Zimbabwe","5312","Area harvested","656","Coffee, green","2018","2018","ha","2170","Im","FAO data based on imputation methodology"
"QC","Crops","181","Zimbabwe","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2419","Fc","Calculated data"
"QC","Crops","181","Zimbabwe","5510","Production","656","Coffee, green","2018","2018","tonnes","525","Im","FAO data based on imputation methodology"
